"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"63ce7fc680532a55e7f44d72","0e57773b-8fdb-4c45-b7c8-4c2c03adfd4e","PHYSICAL","shop","/mcdodo-20w-double-usb-type-c-adapter","20W USB-C Wall Charger For Home","<p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p>","SQ3950728","Color","White","","","","","","","","","","","30.00","19.99","Yes","3","/power-adaptors","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548374199-M7MVHTCBMZUTKR7L32FC/20w-s4.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548789238-42LKZ20Z8QEFVDLHOY6X/20W-MA.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548374283-CY9ZNJ2PV8B98VW2UK1O/1000_02_27deeddc-bffb-457e-b968-c00609a9dd9c_1024x1024.jpeg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548374287-RNLBUD5QKR428KFFSQ0N/2_a947eb91-9548-4250-afd4-6518de0de026_1000x1000.jpeg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548374210-W8STLXYUEGABMWKJ9UMY/20w-s5.jpeg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548374254-B97U0MWC1LHBA2GD0ICJ/20w-s1.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548373995-RCYJNPT8S8T7IZBLH0P8/20w-s2.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715548374124-6H2HL8TSBOES9HRJ858J/20w-s3.png"
"","835f8381-2f08-4918-9f8d-632305038a59","","","","","","SQ9778344","Color","Purple","","","","","","","","","","","30.00","19.99","Yes","0","","","0.0","0.0","0.0","0.0","",""
"","e9ada6a4-72ea-4069-b269-8a6377dd94e3","","","","","","SQ9315182","Color","Blue","","","","","","","","","","","30.00","19.99","Yes","0","","","0.0","0.0","0.0","0.0","",""
"64041454c1b1641c8abb0c22","111aedc4-62b4-465f-810f-acaa5d88ed67","PHYSICAL","shop","100w-essentials","100W USB-C to USB-C Auto Power Off Cable","<p class="""">Mcdodo Essentials; <strong>Auto Power Off PD Fast Charging with Max 5A Current and Max 100W</strong></p><ul data-rte-list=""default""><li><p class="""">Support 100W output, fast and stable power delivery to laptops, tablets, mobile phones, etc.</p></li><li><p class="""">LED indicators, according to the charging state, automatic colour switching</p></li><li><p class="""">Built-in E-mark chip, equipped with MSC technology independently developed by MCDODO, automatic identification of equipment matching current, safe and fast charging</p></li><li><p class="""">Multi-strand thick copper core conduction, low loss, support 100W high power output</p></li><li><p class="""">The SR is thickened and strengthened, the structure is strong and durable</p></li><li><p class="""">Use of two-colour nylon weaving, delicate and beautiful, flexible and strong</p></li></ul><p class=""""></p>","SQ0186668","Length","1.2M","","","","","","","","","","","30.00","17.95","Yes","0","/usbc-cables","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1704319712577-DXCB7XO2QQ8K3WPK0EAH/100W-APO.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677989332983-JVZI5LC24NHUSUFAVZTK/5_56605ba3-4bf5-4d08-85bb-3f18af9235ed_small.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677989332506-8YGDPSDIQIV8RFTZC0OY/1_97b201e0-c6d4-404a-8c43-3a2252b5737d_1000x1000_crop_center.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677989324491-819ML36L049EZW5ZNUST/Screenshot+2023-03-05+040706.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677989332858-2EK0LB0J0679IJNRFBKY/2_31396da8-82e1-40ec-9d87-1dc4099bcc71_1000x1000_crop_center.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677989332828-TUM58YYE6EKXGFU2RDFY/4_4e7629ca-3400-4bd2-9844-71595e4dbb5b_1000x1000_crop_center.jpg"
"","ceddbe4d-a91f-44a5-9e90-d8e989fd3113","","","","","","SQ2136746","Length","1.8M","","","","","","","","","","","40.00","19.95","Yes","0","","","0.0","0.0","0.0","0.0","",""
"67db3dc032dd7a4c71104351","995d5ee4-6c31-407d-ad24-15cc7558fa2f","PHYSICAL","shop","100w-fast-cable","USB-C to USB-C Amber Series 100W Orange","","SQ5029197","Length","1.8","Color","Orange","","","","","","","","","39.99","18.99","Yes","1","/usbc-cables","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/4a030c89-d96f-4b7d-a3fb-4d880f32da45/charging-cable-with-transparent-type-c-connector-12m-amber-series-mcdodo__2_-removebg-preview.png"
"671ac8e2bd32d801cc49ff41","76b2b73c-d9be-4aaa-a09e-6f404aecc3f5","PHYSICAL","shop","100w-triple","100W GaN Triple USB Charging Adapter","","SQ4615639","","","","","","","","","","","","","75.00","50.00","No","0","/power-adaptors","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/ee80a0ce-c316-4bc5-b6ca-0291357f6373/image-removebg-preview.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/899cbbe2-6c77-4871-b83f-fc698f89813c/1000x1000_101601248-5.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/14e0891a-b082-4257-a18e-f0aac2b911cf/1000x1000_101601248-7.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/b75d3df8-9eed-4c7b-bbe6-f20699dda2de/1000x1000_101601248-1.jpg"
"6749d784b9528f56d3e38600","9e8650be-b669-4c79-ae13-d098b8189385","PHYSICAL","shop","12w-superfast-usb","120W USB-C Super Fast Cable","","SQ8407828","","","","","","","","","","","","","29.99","14.85","Yes","0","/usbc-cables","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/23f42026-d1de-4f7a-a7ea-90a6a259dda2/H2fa9ee5767de428391a9e0d7cb6a3e7eU-removebg-preview.png"
"63113579e56c842f06ef0c90","68ab79e0-8989-47ac-9bba-51f5e30df4dd","PHYSICAL","shop","15w-wireless-3-in-1-charging-station","15W Wireless 3 in 1 Charging Station","<p class="""">3 in 1 charger station, support three devices charging at the same time:</p><p style=""text-align:start;"" class="""">Wireless charging 1, for iPhone and Android cellphones</p><p style=""text-align:start;"" class="""">wireless charging 2, for iPod and other TWS earphone which support wireless charger feature</p><p style=""text-align:start;"" class="""">wired charging 3, for I watch</p><p style=""text-align:start;"" class="""">Smart compatible with Apple, Huawei, Samsung, Xiaomi, oppo, vivo, one plus, hammer, etc.</p><p style=""text-align:start;"" class="""">MagSafe design make charging for iPhone 12 series more effectively</p><p style=""text-align:start;"" class="""">With led indicator to view charging status easily</p><p class="""">• Airpod slot design put and charge</p><p style=""text-align:start;"" class="""">• iWatch Vertical charging stand</p><p style=""text-align:start;"" class="""">Material: PC+ABS</p><p style=""text-align:start;"" class="""">Input: PD(QC)18-36W</p><p style=""text-align:start;"" class="""">Dimension : 193 x 93 x 67.7mm</p><p style=""text-align:start;"" class="""">Output: 15W/10W/7.5W/5W</p>","SQ3864443","Color","Black","","","","","","","","","","","85.00","50.00","Yes","0","/accessories","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1662072441428-2U71YN81UEFDZJCWVAIB/TMBlpg3Q.jpeg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1662072436367-SKCO0NNZH2PCUR2RTLQH/Screenshot+2022-09-01+at+23.45.52.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1662072442930-4OD1V364LSFEQF6NR9PJ/IfK437uQ.jpeg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1662072576048-7B9RZ7T7FY5U8APNU5HT/ZDaIqj8Q.jpeg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1662072595482-PKZFMWJ707HG2Y6MOHGQ/RvqOZu6g.jpeg"
"","4e1fd7e8-9e83-4394-b20d-25bc44d413b7","","","","","","SQ9169558","Color","White","","","","","","","","","","","85.00","50.00","Yes","3","","","0.0","0.0","0.0","0.0","",""
